Year,week,value,condition,Type
2016,2016-08-28,23,FAIR,5-Year Avg
2016,2016-08-28,28,FAIR,Actual
2016,2016-09-04,24,FAIR,5-Year Avg
2016,2016-09-04,27,FAIR,Actual
2016,2016-09-11,23,FAIR,5-Year Avg
2016,2016-09-11,30,FAIR,Actual
2016,2016-09-18,23,FAIR,5-Year Avg
2016,2016-09-18,31,FAIR,Actual
2016,2016-09-25,25,FAIR,5-Year Avg
2016,2016-09-25,35,FAIR,Actual
2016,2016-10-02,24,FAIR,5-Year Avg
2016,2016-10-02,31,FAIR,Actual
2016,2016-10-09,23,FAIR,5-Year Avg
2016,2016-10-09,31,FAIR,Actual
2016,2016-10-16,23,FAIR,5-Year Avg
2016,2016-10-16,31,FAIR,Actual
2016,2016-10-23,26,FAIR,5-Year Avg
2016,2016-10-23,31,FAIR,Actual
2016,2016-10-30,23,FAIR,5-Year Avg
2016,2016-10-30,31,FAIR,Actual
2016,2016-11-06,32,FAIR,Actual
2016,2016-06-26,63,GOOD,5-Year Avg
2016,2016-06-26,61,GOOD,Actual
2016,2016-07-03,54,GOOD,5-Year Avg
2016,2016-07-03,61,GOOD,Actual
2016,2016-07-10,56,GOOD,5-Year Avg
2016,2016-07-10,62,GOOD,Actual
2016,2016-07-17,56,GOOD,5-Year Avg
2016,2016-07-17,62,GOOD,Actual
2016,2016-07-24,55,GOOD,5-Year Avg
2016,2016-07-24,60,GOOD,Actual
2016,2016-07-31,53,GOOD,5-Year Avg
2016,2016-07-31,55,GOOD,Actual
2016,2016-08-07,53,GOOD,5-Year Avg
2016,2016-08-07,56,GOOD,Actual
2016,2016-08-14,57,GOOD,5-Year Avg
2016,2016-08-14,56,GOOD,Actual
2016,2016-08-21,59,GOOD,5-Year Avg
2016,2016-08-21,55,GOOD,Actual
2016,2016-08-28,60,GOOD,5-Year Avg
2016,2016-08-28,46,GOOD,Actual
2016,2016-09-04,58,GOOD,5-Year Avg
2016,2016-09-04,43,GOOD,Actual
2016,2016-09-11,58,GOOD,5-Year Avg
2016,2016-09-11,41,GOOD,Actual
2016,2016-09-18,58,GOOD,5-Year Avg
2016,2016-09-18,39,GOOD,Actual
2016,2016-09-25,56,GOOD,5-Year Avg
2016,2016-09-25,39,GOOD,Actual
2016,2016-10-02,57,GOOD,5-Year Avg
2016,2016-10-02,39,GOOD,Actual
2016,2016-10-09,61,GOOD,5-Year Avg
2016,2016-10-09,40,GOOD,Actual
2016,2016-10-16,58,GOOD,5-Year Avg
2016,2016-10-16,39,GOOD,Actual
2016,2016-10-23,56,GOOD,5-Year Avg
2016,2016-10-23,39,GOOD,Actual
2016,2016-10-30,59,GOOD,5-Year Avg
2016,2016-10-30,38,GOOD,Actual
2016,2016-11-06,38,GOOD,Actual
2016,2016-06-26,4,POOR,5-Year Avg
2016,2016-06-26,4,POOR,Actual
2016,2016-07-03,6,POOR,5-Year Avg
2016,2016-07-03,3,POOR,Actual
2016,2016-07-10,6,POOR,5-Year Avg
2016,2016-07-10,3,POOR,Actual
2016,2016-07-17,6,POOR,5-Year Avg
2016,2016-07-17,3,POOR,Actual
2016,2016-07-24,8,POOR,5-Year Avg
2016,2016-07-24,3,POOR,Actual
2016,2016-07-31,5,POOR,5-Year Avg
2016,2016-07-31,9,POOR,Actual
2016,2016-08-07,6,POOR,5-Year Avg
2016,2016-08-07,9,POOR,Actual
2016,2016-08-14,4,POOR,5-Year Avg
2016,2016-08-14,9,POOR,Actual
2016,2016-08-21,4,POOR,5-Year Avg
2016,2016-08-21,11,POOR,Actual
2016,2016-08-28,4,POOR,5-Year Avg
2016,2016-08-28,11,POOR,Actual
2016,2016-09-04,5,POOR,5-Year Avg
2016,2016-09-04,15,POOR,Actual
2016,2016-09-11,5,POOR,5-Year Avg
2016,2016-09-11,15,POOR,Actual
2016,2016-09-18,6,POOR,5-Year Avg
2016,2016-09-18,18,POOR,Actual
2016,2016-09-25,6,POOR,5-Year Avg
2016,2016-09-25,15,POOR,Actual
2016,2016-10-02,6,POOR,5-Year Avg
2016,2016-10-02,18,POOR,Actual
2016,2016-10-09,5,POOR,5-Year Avg
2016,2016-10-09,17,POOR,Actual
